"t","\chi","\alpha","x","y","z","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","\dot k_x","\dot k_y","\dot k_z","\ddot k_x","\ddot k_y","\ddot k_z","s_x","s_y","s_z","\dot s_x","\dot s_y","\dot s_z","L_x","L_y","L_z","\dot L_x","\dot L_y","\dot L_z","J_x","J_y","J_z","\dot J_x","\dot J_y","\dot J_z"
0.,0,"1/2",1.5,0.,0.,-1.3552527156068805e-20,0.5773502691896257,0.,-0.8889393468538878,-0.00007138656915910254,0.,0.4714045207910317,0.3333333333333333,0.,-0.12830005981991682,0.18144368465060579,0.,-0.2793428962248862,-0.19754208790825764,0.,0.,0.,0.,0,0,0,0.,0.,0.5,0.,0.,-4.517509052022935e-21,0.,0.,0.5,0.,0.,-4.517509052022935e-21
0.13333333333333333,0,"1/2",1.4980250751522146,0.076946221751265,0.,-0.02961737397205302,0.5765900978835856,0.,-0.22195300098810253,-0.011400672784855627,0.,0.4536847016327435,0.35707632637064135,0.,-0.13743897376228792,0.1746231528414571,0.,-0.06721961607800016,-0.052905769546898386,0.,0.,0.,0.,0,0,0,0.,0.,0.49999996698946714,0.,0.,-4.982063753107557e-7,0.,0.,0.49999996698946714,0.,0.,-4.982063753107557e-7
0.26666666666666666,0,"1/2",1.4921056567824518,0.15368986177451838,0.,-0.05915529813125461,0.5743117484428739,0.,-0.2211136175566205,-0.022777016162816,0.,0.43477026591389467,0.3798791000936206,0.,-0.14621554799064485,0.1673431541361899,0.,-0.0644277471856192,-0.05629447823659943,0.,0.,0.,0.,0,0,0,0.,0.,0.49999997207114144,0.,0.,-1.8737458602063883e-8,0.,0.,0.49999997207114144,0.,0.,-1.8737458602063883e-8
0.4,0,"1/2",1.4822572596681614,0.23002880512801357,0.,-0.08853743097191656,0.5705211963120816,0.,-0.21961837505330858,-0.03408126579906713,0.,0.4147110038754763,0.40168158362687023,0.,-0.1546071167374158,0.15962253644151053,0.,-0.06144578401594562,-0.05951478718359019,0.,0.,0.,0.,0,0,0,0.,0.,0.4999999667110172,0.,0.,4.802365944633902e-7,0.,0.,0.4999999667110172,0.,0.,4.802365944633902e-7
0.5333333333333333,0,"1/2",1.4685058238800364,0.30576204299797616,0.,-0.11768701065095863,0.5652283475384763,0.,-0.21755304191496702,-0.045297216860626904,0.,0.3935597363079744,0.42242637046553877,0.,-0.1625917574835541,0.15148147101676807,0.,-0.05830427922996159,-0.06258065560836684,0.,0.,0.,0.,0,0,0,0.,0.,0.49999995617387843,0.,0.,5.941695833122651e-7,0.,0.,0.49999995617387843,0.,0.,5.941695833122651e-7
0.6666666666666666,0,"1/2",1.4508875678461148,0.38069015721593036,0.,-0.14652709884964915,0.5584470771986965,0.,-0.21492508446555814,-0.0563930416418528,0.,0.37137216070189677,0.44205883808161056,0.,-0.1701483741903597,0.14294141575264424,0.,-0.0550126536587872,-0.06548374677608372,0.,0.,0.,0.,0,0,0,0.,0.,0.49999994618588256,0.,0.,4.376045132647999e-7,0.,0.,0.49999994618588256,0.,0.,4.376045132647999e-7
0.8,0,"1/2",1.429448888775086,0.45461585098492147,0.,-0.1749815733470857,0.5501952226360272,0.,-0.21174116847844415,-0.06734129651590375,0.,0.3482067020134606,0.4605272925603685,0.,-0.17725700780479922,0.13402489235480144,0.,-0.051579100755347065,-0.06821691379118928,0.,0.,0.,0.,0,0,0,0.,0.,0.4999999404465153,0.,0.,1.2473185147243715e-7,0.,0.,0.4999999404465153,0.,0.,1.2473185147243715e-7
0.9333333333333333,0,"1/2",1.404246240422745,0.5273444674716208,0.,-0.20297533497326462,0.5404945395933318,0.,-0.20800926477310702,-0.07811483537378053,0.,0.3241243590052937,0.477783104448318,0.,-0.18389889157222186,0.12475542683973685,0.,-0.048012157748713355,-0.07077339821552413,0.,0.,0.,0.,0,0,0,0.,0.,0.49999994066483117,0.,0.,-2.2970470367478235e-7,0.,0.,0.49999994066483117,0.,0.,-2.2970470367478235e-7
1.0666666666666667,0,"1/2",1.375345865252049,0.5986844446623464,0.,-0.23043887776682664,0.5293685583387252,0.,-0.20378647804108668,-0.08870963721939246,0.,0.2991885189946877,0.4937807921671024,0.,-0.19005741083778893,0.1151558597749028,0.,-0.04433066496853841,-0.07316462421124652,0.,0.,0.,0.,0,0,0,0.,0.,0.49999985850422113,0.,0.,-3.735519175498969e-6,0.,0.,0.49999985850422113,0.,0.,-3.735519175498969e-6
1.2,0,"1/2",1.342823827537182,0.6684479162679068,0.,-0.25728232784811567,0.5168549702622841,0.,-0.19886527317824848,-0.09899418392722438,0.,0.2734648347140272,0.5084782182444089,0.,-0.19571269697471408,0.10525800880367253,0.,-0.04049862708533871,-0.0753031403572074,0.,0.,0.,0.,0,0,0,0.,0.,0.49999966830510467,0.,0.,2.588076727177979e-6,0.,0.,0.49999966830510467,0.,0.,2.588076727177979e-6
